track_name,artist(s)_name,,released_year,released_month,,in_spotify_playlists,in_spotify_charts,,,,,,,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",,2023,7,,553,147,,,,,,,125,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,,2023,3,,1474,48,,,,,,,92,C#,Major,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,,2023,6,,1397,113,,,,,,,138,F,Major,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,,2019,8,,7858,100,,,,,,,170,A,Major,55,58,72,11,0,11,15
WHERE SHE GOES,Bad Bunny,,2023,5,,3133,50,,,,,,,144,A,Minor,65,23,80,14,63,11,6
Sprinter,"Dave, Central Cee",,2023,6,,2186,91,,,,,,,141,C#,Major,92,66,58,19,0,8,24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",,2023,3,,3090,50,,,,,,,148,F,Minor,67,83,76,48,0,8,3
Columbia,Quevedo,,2023,7,,714,43,,,,,,,100,F,Major,67,26,71,37,0,11,4
fukumean,Gunna,,2023,5,,1096,83,,,,,,,130,C#,Minor,85,22,62,12,0,28,9
La Bebe - Remix,"Peso Pluma, Yng Lvcas",,2023,3,,2953,44,,,,,,,170,D,Minor,81,56,48,21,0,8,33
un x100to,"Bad Bunny, Grupo Frontera",,2023,4,,2876,40,,,,,,,83,F#,Minor,57,56,72,23,0,27,5
Super Shy,NewJeans,,2023,7,,422,55,,,,,,,150,F,Minor,78,52,82,18,0,15,7
Flowers,Miley Cyrus,,2023,1,,12211,115,,,,,,,118,,Major,71,65,68,6,0,3,7
Daylight,David Kushner,,2023,4,,3528,98,,,,,,,130,D,Minor,51,32,43,83,0,9,3
As It Was,Harry Styles,,2022,3,,23575,130,,,,,,,174,F#,Minor,52,66,73,34,0,31,6
Kill Bill,SZA,,2022,12,,8109,77,,,,,,,89,G#,Major,64,43,73,5,17,16,4
Cupid - Twin Ver.,Fifty Fifty,,2023,2,,2942,77,,,,,,,120,B,Minor,78,76,59,43,0,34,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,,2023,7,,873,104,,,,,,,78,,Major,44,14,9,96,0,10,3
Classy 101,"Feid, Young Miko",,2023,3,,2610,40,,,,,,,100,B,Major,86,67,66,14,0,12,16
Like Crazy,Jimin,,2023,3,,596,68,,,,,,,120,G,Major,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",,2023,6,,332,26,,,,,,,140,F,Minor,65,87,74,22,0,42,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,,2023,7,,516,38,,,,,,,123,F#,Major,69,82,76,6,0,6,3
I Wanna Be Yours,Arctic Monkeys,,2013,1,,12859,110,,,,,,,135,,Minor,48,44,42,12,2,11,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",,2023,5,,1313,40,,,,,,,133,F,Minor,85,81,67,26,0,12,5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",,2023,6,,1945,87,,,,,,,99,C#,Major,85,83,68,7,0,36,20
SABOR FRESA,Fuerza Regida,,2023,6,,250,26,,,,,,,130,G,Minor,79,96,86,9,0,9,9
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",,2022,3,,7112,77,,,,,,,107,B,Major,80,82,80,43,0,14,4
MOJABI GHOST,"Tainy, Bad Bunny",,2023,6,,859,40,,,,,,,122,F#,Minor,81,74,71,14,0,56,4
Last Night,Morgan Wallen,,2023,1,,2420,19,,,,,,,204,F#,Major,52,52,68,46,0,15,4
Dance The Night (From Barbie The Album),Dua Lipa,,2023,5,,2988,101,,,,,,,110,B,Minor,67,78,85,2,0,33,5
Rush,Troye Sivan,,2023,7,,864,78,,,,,,,126,F,Minor,74,35,84,0,0,11,6
TULUM,"Peso Pluma, Grupo Frontera",,2023,6,,266,34,,,,,,,168,F#,Major,56,63,87,39,0,11,5
Creepin',"The Weeknd, 21 Savage, Metro Boomin",,2022,12,,6036,88,,,,,,,98,C#,Minor,71,17,61,36,0,8,5
Anti-Hero,Taylor Swift,,2022,10,,9082,56,,,,,,,97,E,Major,64,51,63,12,0,19,5
TQG,"Karol G, Shakira",,2023,2,,4284,49,,,,,,,180,E,Minor,72,61,63,67,0,9,28
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",,2023,6,,1150,31,,,,,,,120,,Major,81,63,68,11,0,11,4
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",,2023,4,,672,34,,,,,,,150,F#,Major,61,39,73,37,0,11,3
Blank Space,Taylor Swift,,2014,1,,11434,53,,,,,,,96,F,Major,75,57,68,9,0,13,6
Style,Taylor Swift,,2014,1,,7830,42,,,,,,,95,D,Major,60,48,79,0,0,12,4
TQM,Fuerza Regida,,2023,5,,584,28,,,,,,,125,F,Minor,79,96,85,27,0,11,6
El Azul,"Junior H, Peso Pluma",,2023,2,,692,25,,,,,,,144,A,Minor,56,84,65,23,0,10,6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",,2018,10,,24094,78,,,,,,,90,D,Major,76,91,50,54,0,7,5
I'm Good (Blue),"Bebe Rexha, David Guetta",,2022,8,,12482,80,,,,,,,128,G,Minor,56,38,97,4,0,35,4
See You Again,"Tyler, The Creator, Kali Uchis",,2017,7,,13387,64,,,,,,,79,F#,Major,56,58,56,37,0,11,10
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",,2023,6,,1117,80,,,,,,,144,,Major,77,75,58,52,0,23,25
Angels Like You,Miley Cyrus,,2020,11,,3372,19,,,,,,,122,F,Major,67,49,64,10,0,10,3
I Ain't Worried,OneRepublic,,2022,5,,8431,76,,,,,,,140,,Major,71,82,81,11,0,6,5
Die For You,The Weeknd,,2016,11,,2483,59,,,,,,,134,C#,Minor,59,51,52,9,0,15,7
